Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
30,Media_Manager,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,14.0,17.13,5.0,,1704.18,35.171160021263034,14,Yes,70.47833267207261,38.4369827577036,High_spent_Large_value_payments,392.19618457022375,Poor
30,,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",34,14.0,21.13,5.0,,1704.18,29.76215930632113,14,Yes,70.47833267207261,220.55219192916718,Low_spent_Small_value_payments,260.0809753987602,Poor
23,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,11.0,11.24,8.0,Good,1377.74,29.819186633421047,21,No,226.8927919215432,649.8093641841638,High_spent_Small_value_payments,367.6845938942932,Standard
24,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",13,14.0,8.24,8.0,,1377.74,26.114213868949623,21,NM,226.8927919215432,546.3805705230692,,491.11338755538793,Good
24,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,11.0,8.24,8.0,Good,1377.74,27.813353640375272,21,No,226.8927919215432,254.57176724837916,High_spent_Large_value_payments,742.9221908300779,Standard
40,Teacher,33751.27,2948.605833333333,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20.0,11.0,4.0,Standard,1328.93,37.08907564543987,19,NM,65.00817428651536,117.30669710658556,High_spent_Medium_value_payments,362.54571194023237,Standard
40,Teacher,33751.27,2948.605833333333,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20.0,11.0,4.0,Standard,1328.93,30.908080633467584,19,Yes,65.00817428651536,70.13107792087979,High_spent_Large_value_payments,399.7213311259382,Standard
40,Teacher,33751.27,2948.605833333333,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20.0,8.0,8.0,Standard,1328.93,29.073758182245705,19,Yes,65.00817428651536,243.32968479530567,Low_spent_Small_value_payments,276.5227242515123,Standard
40,Teacher,33751.27,2948.605833333333,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20.0,11.0,8.0,Standard,1328.93,32.78263672653516,19,Yes,65.00817428651536,72.86008181289458,High_spent_Medium_value_payments,406.9923272339233,Standard
40,Teacher,33751.27,2948.605833333333,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20.0,11.0,8.0,Standard,1328.93,35.58400504980836,19,Yes,65.00817428651536,35.427169541683696,,444.4252395051343,Standard
35,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,8.0,5.54,3.0,Standard,179.22,25.64924606724341,26,Yes,124.39208242092045,243.73543739209438,Low_spent_Large_value_payments,378.54048018698535,Standard
35,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,10.0,4.54,3.0,Standard,179.22,29.40877527612245,26,Yes,124.39208242092045,142.75186411942676,High_spent_Medium_value_payments,459.52405345965286,Standard
35,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,8.0,11.54,3.0,Standard,179.22,34.59532445612005,27,Yes,124.39208242092045,233.1184454152274,Low_spent_Small_value_payments,409.15747216385233,Standard
36,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,8.0,5.54,7.0,Standard,179.22,35.112531991297786,27,Yes,124.39208242092045,158.11240346721374,Low_spent_Large_value_payments,464.1635141118658,Standard
36,Entrepreneur,25546.26,2415.855,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",16,14.0,7.83,5.0,Standard,758.44,37.41820916883601,18,NM,101.3286373638512,53.104599112612064,High_spent_Medium_value_payments,337.1522635235368,Standard
37,Entrepreneur,25546.26,2415.855,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",16,10.0,7.83,5.0,Standard,758.44,25.413616742350907,18,Yes,101.3286373638512,91.21658676189335,Low_spent_Large_value_payments,319.0402758742555,Standard
37,Entrepreneur,25546.26,2415.855,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",16,10.0,7.83,5.0,,758.44,34.58659948959524,,Yes,101.3286373638512,61.7307484719951,High_spent_Small_value_payments,338.52611416415374,Standard
37,Entrepreneur,25546.26,2415.855,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",16,14.0,10.83,5.0,Standard,758.44,30.099067241911712,18,Yes,101.3286373638512,130.30039377019006,Low_spent_Small_value_payments,299.9564688659588,Standard
37,Entrepreneur,25546.26,2415.855,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",15,13.0,7.83,5.0,Standard,758.44,39.33348789822524,18,Yes,101.3286373638512,189.81586133347676,Low_spent_Medium_value_payments,230.44100130267208,Standard
30,Scientist,31993.78,2942.148333333333,6,6,7,2,"Payday Loan, and Home Equity Loan",8,14.0,6.28,1.0,,818.22,34.15826211876792,17,Yes,45.14129822463578,152.4523258823164,Low_spent_Medium_value_payments,376.6212092263812,Standard
30,Scientist,31993.78,2942.148333333333,6,6,7,2,"Payday Loan, and Home Equity Loan",8,14.0,6.28,1.0,Standard,818.22,30.788038803709785,17,Yes,45.14129822463578,43.470408666891174,High_spent_Medium_value_payments,455.6031264418064,Standard
31,Scientist,31993.78,2942.148333333333,6,6,7,2,"Payday Loan, and Home Equity Loan",8,16.0,6.28,1.0,Standard,818.22,36.012793772472094,17,Yes,45.14129822463578,97.58820324481087,Low_spent_Large_value_payments,421.4853318638867,Standard
45,Teacher,32284.62,2898.385,6,7,17,6,"Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan",11,12.0,9.22,8.0,Standard,1283.37,28.94089258854545,6 ,Yes,103.03756035536594,254.86161508896942,Low_spent_Medium_value_payments,211.93932455566463,Standard
46,Teacher,32284.62,2898.385,6,7,17,6,"Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan",11,12.0,9.22,8.0,Standard,1283.37,27.86131019311364,6 ,Yes,103.03756035536594,103.21030741657007,Low_spent_Large_value_payments,353.59063222806395,Standard
46,Teacher,32284.62,2898.385,6,7,17,6,"Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan",10,12.0,9.22,8.0,Standard,1283.37,27.88169704475605,6 ,Yes,103.03756035536594,35.793568414159616,High_spent_Large_value_payments,391.00737123047446,Standard
46,Teacher,32284.62,2898.385,6,7,17,6,"Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan",11,12.0,9.22,8.0,Standard,1283.37,38.39455822201335,6 ,Yes,103.03756035536594,280.21825375922106,Low_spent_Small_value_payments,196.582685885413,Standard
46,Teacher,32284.62,2898.385,6,7,17,6,"Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan",11,12.0,8.22,10.0,Standard,1283.37,26.874467413543886,6 ,Yes,103.03756035536594,272.2735499123763,Low_spent_Small_value_payments,204.52738973225772,Standard
31,Entrepreneur,19300.34,1512.361666666667,6,7,17,5,"Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified",51,18.0,9.95,7.0,Bad,2430.21,36.6412035787929,18,NM,49.57206224445275,55.29821298839304,High_spent_Small_value_payments,306.3658914338209,Poor
31,Entrepreneur,19300.34,1512.361666666667,6,7,17,5,"Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified",48,19.0,15.95,7.0,,2430.21,37.62486247304565,,Yes,49.57206224445275,140.81859591726788,Low_spent_Large_value_payments,230.84550850494603,Poor
31,Entrepreneur,19300.34,1512.361666666667,6,7,17,5,"Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified",51,19.0,9.95,7.0,Bad,2430.21,28.870386917234462,18,Yes,49.57206224445275,61.428029874778424,High_spent_Small_value_payments,300.23607454743546,Standard
32,Entrepreneur,19300.34,1512.361666666667,6,7,17,5,"Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified",51,19.0,9.95,7.0,Bad,2430.21,28.05884596384257,,Yes,49.57206224445275,173.0425507765921,Low_spent_Small_value_payments,218.62155364562184,Poor
41,Media_Manager,10183.015,1074.5845833333333,7,5,17,5,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",48,18.0,7.97,6.0,Bad,1672.43,32.38559762083814,10,NM,37.58807283812568,92.36195001929579,Low_spent_Small_value_payments,267.5084354759118,Poor
41,Media_Manager,10183.015,1074.5845833333333,7,5,17,5,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",43,20.0,7.97,6.0,,1672.43,27.61417777754393,10,Yes,37.58807283812568,46.8104157513052,High_spent_Small_value_payments,283.0599697439025,Standard
42,Media_Manager,10183.015,1074.5845833333333,7,5,17,5,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",52,21.0,7.97,6.0,,1672.43,24.713823993258373,10,Yes,37.58807283812568,61.863727578026115,Low_spent_Small_value_payments,298.00665791718154,Poor
42,Media_Manager,10183.015,1074.5845833333333,7,5,17,5,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",48,21.0,7.97,6.0,Bad,1672.43,36.83702882243363,10,Yes,37.58807283812568,71.12274735436063,Low_spent_Small_value_payments,288.747638140847,Poor
30,Writer,34290.12,2697.51,9,8,25,7,"Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan",52,6.0,12.96,9.0,,2686.81,29.01885042597808,,Yes,185.1119825795006,60.589536090880564,High_spent_Medium_value_payments,274.0494813296189,Standard
43,Musician,18627.64,1387.303333333333,7,7,19,6,"Payday Loan, Not Specified, Student Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan",31,22.0,5.07,7.0,Bad,1793.54,35.91940492740646,19,Yes,65.13948777561222,75.79138890495672,Low_spent_Medium_value_payments,277.7994566527644,Standard
43,Musician,18627.64,1387.303333333333,7,7,19,6,"Payday Loan, Not Specified, Student Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan",31,21.0,6.07,7.0,Bad,1793.54,35.706437003014834,19,Yes,65.13948777561222,109.59203229477613,Low_spent_Medium_value_payments,243.998813262945,Poor
44,Musician,18627.64,1387.303333333333,7,7,19,6,"Payday Loan, Not Specified, Student Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan",31,18.0,5.07,7.0,Bad,1793.54,38.78895428776155,19,Yes,65.13948777561222,98.80418973887456,Low_spent_Small_value_payments,264.78665581884655,Poor
36,Scientist,42171.98,3764.331666666667,2,7,10,3,"Auto Loan, Auto Loan, and Not Specified",4,8.0,2.58,4.0,Good,556.91,26.986114755563676,21,No,102.7629131170904,136.98300144734569,Low_spent_Small_value_payments,426.6872521022305,Standard
37,Scientist,42171.98,3764.331666666667,2,7,10,3,"Auto Loan, Auto Loan, and Not Specified",4,10.0,2.58,4.0,Good,556.91,31.745213385009905,21,No,102.7629131170904,150.3131869839959,,373.3570665655803,Good
37,Scientist,42171.98,3764.331666666667,2,7,10,3,"Auto Loan, Auto Loan, and Not Specified",4,10.0,2.58,4.0,Good,556.91,38.69215906784695,,No,102.7629131170904,82.5798021342212,High_spent_Large_value_payments,431.0904514153552,Good
