Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
30,10,34081.38,2611.115,8,7,15,3,1346,30,14.0,17.13,5.0,3,1704.18,35.171160021263034,6,2,70.47833267207261,38.4369827577036,0,392.19618457022375,1
30,15,34081.38,2611.115,8,7,15,3,1346,34,14.0,21.13,5.0,3,1704.18,29.76215930632113,6,2,70.47833267207261,220.55219192916718,5,260.0809753987602,1
23,3,114838.41,9843.8675,2,5,7,3,1919,11,11.0,11.24,8.0,1,1377.74,29.819186633421047,14,1,226.8927919215432,649.8093641841638,2,367.6845938942932,2
24,3,114838.41,9843.8675,2,5,7,3,1919,13,14.0,8.24,8.0,3,1377.74,26.114213868949623,14,0,226.8927919215432,546.3805705230692,6,491.11338755538793,0
24,3,114838.41,9843.8675,2,5,7,3,1919,11,11.0,8.24,8.0,1,1377.74,27.813353640375272,14,1,226.8927919215432,254.57176724837916,0,742.9221908300779,2
40,13,33751.27,2948.605833333333,5,5,20,3,501,16,20.0,11.0,4.0,2,1328.93,37.08907564543987,11,0,65.00817428651536,117.30669710658556,1,362.54571194023237,2
40,13,33751.27,2948.605833333333,5,5,20,3,501,16,20.0,11.0,4.0,2,1328.93,30.908080633467584,11,2,65.00817428651536,70.13107792087979,0,399.7213311259382,2
40,13,33751.27,2948.605833333333,5,5,20,3,501,16,20.0,8.0,8.0,2,1328.93,29.073758182245705,11,2,65.00817428651536,243.32968479530567,5,276.5227242515123,2
40,13,33751.27,2948.605833333333,5,5,20,3,501,16,20.0,11.0,8.0,2,1328.93,32.78263672653516,11,2,65.00817428651536,72.86008181289458,1,406.9923272339233,2
40,13,33751.27,2948.605833333333,5,5,20,3,501,16,20.0,11.0,8.0,2,1328.93,35.58400504980836,11,2,65.00817428651536,35.427169541683696,6,444.4252395051343,2
35,5,54392.16,4766.68,6,4,14,3,1570,10,8.0,5.54,3.0,2,179.22,25.64924606724341,19,2,124.39208242092045,243.73543739209438,3,378.54048018698535,2
35,5,54392.16,4766.68,6,4,14,3,1570,10,10.0,4.54,3.0,2,179.22,29.40877527612245,19,2,124.39208242092045,142.75186411942676,1,459.52405345965286,2
35,5,54392.16,4766.68,6,4,14,3,1570,10,8.0,11.54,3.0,2,179.22,34.59532445612005,20,2,124.39208242092045,233.1184454152274,5,409.15747216385233,2
36,5,54392.16,4766.68,6,4,14,3,1570,10,8.0,5.54,7.0,2,179.22,35.112531991297786,20,2,124.39208242092045,158.11240346721374,3,464.1635141118658,2
36,5,25546.26,2415.855,8,7,14,5,1563,16,14.0,7.83,5.0,2,758.44,37.41820916883601,10,0,101.3286373638512,53.104599112612064,1,337.1522635235368,2
